日付,発生時間,端末ID,ユーザID,名前,社員番号,事業所,カテゴリ,モード,タイプ,カードシリアル,結果,プロパティ,外部装置,衛星坐標
2017-11-01,08:45:19,0003 : AC7000 3,2,立身昌三,1022,**** : 指定なし,ユーザ,F1,1:N 顔,,成功,1100,,0 / 0
2017-11-01,08:46:20,0003 : AC7000 3,3,佐々木敏行,1333,**** : 指定なし,ユーザ,F1,1:N 顔,,成功,1100,,0 / 0
2017-11-01,17:52:21,0003 : AC7000 3,2,立身昌三,1022,**** : 指定なし,ユーザ,F2,1:N 顔,,成功,1100,,0 / 0
2017-11-01,17:59:18,0003 : AC7000 3,3,佐々木敏行,1333,**** : 指定なし,ユーザ,F2,1:N 顔,,成功,1100,,0 / 0
2018-01-02,08:45:19,0003 : AC7000 3,2,立身昌三,1022,**** : 指定なし,ユーザ,F1,1:N 顔,,照合エラー,1100,,0 / 0
2018-01-02,08:46:20,0003 : AC7000 3,3,佐々木敏行,1333,**** : 指定なし,ユーザ,F1,1:N 顔,,照合エラー,1100,,0 / 0
2018-01-02,17:52:21,0003 : AC7000 3,2,立身昌三,1022,**** : 指定なし,ユーザ,F2,1:N 顔,,照合エラー,1100,,0 / 0
2018-01-02,17:59:18,0003 : AC7000 3,3,佐々木敏行,1333,**** : 指定なし,ユーザ,F2,1:N 顔,,照合エラー,1100,,0 / 0
2018-01-31,08:45:30,0003 : AC7000 3,30,織田信長,13,**** : 指定なし,ユーザ,F1,1:N 顔,,成功,1100,,0 / 0
2018-01-31,08:45:35,0003 : AC7000 3,20,立身美奈子,10,**** : 指定なし,ユーザ,F1,1:N 顔,,成功,1100,,0 / 0
2018-01-31,08:45:58,0003 : AC7000 3,2,立身昌三,1022,**** : 指定なし,ユーザ,F1,1:N 顔,,成功,1100,,0 / 0
2018-01-31,08:55:25,0003 : AC7000 3,3,佐々木敏行,1333,**** : 指定なし,ユーザ,F1,1:N 顔,,成功,1100,,0 / 0
2018-01-31,18:41:07,0003 : AC7000 3,2,立身昌三,1022,**** : 指定なし,ユーザ,F2,1:N 顔,,成功,1100,,0 / 0
2018-01-31,18:41:30,0003 : AC7000 3,30,織田信長,13,**** : 指定なし,ユーザ,F2,1:N 顔,,成功,1100,,0 / 0
2018-01-31,18:59:02,0003 : AC7000 3,20,立身美奈子,10,**** : 指定なし,ユーザ,F2,1:N 顔,,成功,1100,,0 / 0
2018-01-31,18:59:08,0003 : AC7000 3,3,佐々木敏行,1333,**** : 指定なし,ユーザ,F2,1:N 顔,,成功,1100,,0 / 0
2018-11-01,08:35:17,0003 : AC7000 3,2,立身昌三,1022,**** : 指定なし,ユーザ,F1,1:N 顔,,成功,1100,,0 / 0
2018-11-01,08:42:16,0003 : AC7000 3,3,佐々木敏行,1333,**** : 指定なし,ユーザ,F1,1:N 顔,,成功,1100,,0 / 0
2018-11-01,17:40:15,0003 : AC7000 3,2,立身昌三,1022,**** : 指定なし,ユーザ,F2,1:N 顔,,成功,1100,,0 / 0
2018-11-01,17:45:30,0003 : AC7000 3,3,佐々木敏行,1333,**** : 指定なし,ユーザ,F2,1:N 顔,,成功,1100,,0 / 0
